transaction_id,user_id,date,category,amount
TXN0000133,U06169,2025-09-28,Shopping,34.11
TXN0000134,U04905,2025-10-06,Shopping,87.07
TXN0000135,U00543,2025-09-14,Food & Drink,40.47
TXN0000136,U01250,2025-08-27,Transfer,115.77
TXN0000137,U04152,2025-12-30,Shopping,26.3
TXN0000138,U04574,2025-12-20,Shopping,146.06
TXN0000139,U05593,2025-07-25,Shopping,150.24
TXN0000140,U06004,2024-11-04,Transport,38.45
TXN0000141,U00959,2025-10-16,Stocks,604.69
TXN0000142,U05416,2025-04-16,Transport,26.44
TXN0000143,U03129,2025-07-29,Entertainment,77.08
TXN0000144,U07035,2024-06-20,Transport,37.01
TXN0000145,U00893,2025-09-18,Transport,59.26
TXN0000146,U07566,2025-12-23,Shopping,149.38
TXN0000147,U06590,2025-12-09,Food & Drink,27.68
TXN0000148,U06750,2025-12-20,Shopping,78.45
TXN0000149,U06372,2024-10-13,Transfer,334.85
TXN0000150,U06434,2025-10-14,Stocks,3230.4
TXN0000151,U05970,2025-12-29,Food & Drink,32.94
TXN0000152,U05655,2025-12-29,Bills,448.85
TXN0000153,U00104,2025-08-03,Food & Drink,49.01
TXN0000154,U02141,2025-04-05,Food & Drink,48.83
TXN0000155,U06698,2025-12-02,Shopping,86.25
TXN0000156,U00952,2025-11-05,Shopping,52.98
TXN0000157,U07472,2025-11-14,Transport,24.34
TXN0000158,U06881,2024-12-26,Transfer,571.25
TXN0000159,U05251,2025-07-07,Travel,2149.83
TXN0000160,U07162,2025-08-25,Stocks,3536.94
TXN0000161,U07820,2024-12-14,Shopping,169.39
TXN0000162,U06117,2025-01-19,Entertainment,75.3
TXN0000163,U04277,2025-04-14,Shopping,10.05
TXN0000164,U03929,2025-02-19,Transport,15.16
TXN0000165,U01283,2025-01-07,Food & Drink,64.59
TXN0000166,U03630,2025-06-26,Transport,44.05
TXN0000167,U02307,2024-10-19,Entertainment,65.91
TXN0000168,U05463,2025-04-05,Transfer,1079.24
TXN0000169,U04835,2025-11-20,Transport,54.15
TXN0000170,U03927,2025-09-29,Food & Drink,29.17
TXN0000171,U00423,2025-11-21,Transport,29.22
TXN0000172,U04122,2025-07-25,Shopping,140.26
TXN0000173,U00599,2025-12-26,Bills,237.91
TXN0000174,U06024,2025-07-29,Food & Drink,72.79
TXN0000175,U00041,2025-11-20,Travel,1748.83
TXN0000176,U07200,2025-04-17,Entertainment,97.83
TXN0000177,U05149,2025-04-11,Entertainment,10.64
TXN0000178,U01278,2024-12-01,Shopping,161.62
TXN0000179,U02143,2024-11-04,Bills,141.22
TXN0000180,U00825,2025-05-22,Crypto,841.78
TXN0000181,U06704,2025-03-02,Bills,259.2
TXN0000182,U04987,2025-12-13,Bills,23.36
TXN0000183,U03359,2025-02-19,Shopping,150.55
TXN0000184,U07300,2024-09-03,Travel,1879.41
TXN0000185,U03267,2025-12-06,Transfer,1140.12
TXN0000186,U07862,2025-12-03,Entertainment,82.35
TXN0000187,U06018,2025-07-17,Bills,211.57
TXN0000188,U02217,2025-11-06,Bills,301.31
TXN0000189,U05821,2025-11-22,Shopping,66.29
TXN0000190,U07506,2025-07-02,Food & Drink,69.19
TXN0000191,U04230,2025-09-04,Food & Drink,61.25
TXN0000192,U00662,2025-06-16,Shopping,83.67
TXN0000193,U00958,2025-07-08,Transfer,608.58
TXN0000194,U02616,2025-10-08,Shopping,123.53
TXN0000195,U05986,2025-12-18,Shopping,124.2
TXN0000196,U05204,2025-07-29,Food & Drink,47.96
TXN0000197,U03420,2025-09-30,Food & Drink,46.08
TXN0000198,U02794,2025-07-20,Travel,291.42
TXN0000199,U05603,2025-12-05,Transport,28.46
TXN0000200,U05179,2024-07-18,Food & Drink,68.27
TXN0000201,U01985,2025-04-20,Transport,4.99
TXN0000202,U01471,2024-10-24,Shopping,161.99
TXN0000203,U04997,2025-01-28,Crypto,535.93
TXN0000204,U06793,2025-12-25,Transfer,530.62
TXN0000205,U04976,2024-08-29,Shopping,15.16
TXN0000206,U01142,2024-05-15,Food & Drink,25.37
TXN0000207,U06874,2025-02-09,Food & Drink,23.95
TXN0000208,U01932,2025-12-14,Crypto,847.82
TXN0000209,U00017,2024-12-30,Crypto,811.21
TXN0000210,U07613,2025-12-25,Shopping,45.7
TXN0000211,U03428,2025-11-21,Transfer,956.69
TXN0000212,U01200,2025-12-29,Shopping,195.3
TXN0000213,U06238,2025-02-27,Shopping,12.25
TXN0000214,U06687,2025-11-12,Bills,291.52
TXN0000215,U06734,2024-09-15,Transport,53.01
TXN0000216,U01764,2024-04-01,Transport,5.8
TXN0000217,U06371,2025-06-24,Food & Drink,59.9
TXN0000218,U05835,2025-12-24,Transfer,1275.3
TXN0000219,U03610,2025-04-18,Bills,81.51
TXN0000220,U04797,2025-06-04,Bills,209.09
TXN0000221,U03673,2025-12-12,Transfer,349.93
TXN0000222,U07246,2025-09-23,Travel,341.86
TXN0000223,U02398,2025-07-09,Transport,57.92
TXN0000224,U02249,2025-12-22,Food & Drink,64.89
TXN0000225,U07643,2025-09-01,Entertainment,30.67
TXN0000226,U07578,2025-08-21,Transfer,566.22
TXN0000227,U07129,2024-09-29,Transport,43.76
TXN0000228,U05428,2025-10-06,Entertainment,28.97
TXN0000229,U02397,2025-08-20,Food & Drink,39.67
TXN0000230,U07157,2025-04-14,Transfer,1528.46
TXN0000231,U00717,2025-01-26,Transport,27.39
TXN0000232,U01382,2025-03-05,Shopping,117.17
TXN0000233,U05895,2025-10-03,Food & Drink,40.1
TXN0000234,U01944,2025-08-29,Bills,473.24
TXN0000235,U03193,2025-08-06,Bills,463.73
TXN0000236,U05080,2025-06-29,Bills,353.71
TXN0000237,U04375,2025-01-04,Travel,1606.51
TXN0000238,U03529,2025-06-08,Crypto,224.64
TXN0000239,U01713,2025-09-01,Transfer,1913.8
TXN0000240,U05805,2025-07-09,Transport,20.88
TXN0000241,U05853,2024-05-10,Shopping,42.03
TXN0000242,U00903,2025-08-18,Travel,744.6
TXN0000243,U03603,2025-04-13,Food & Drink,58.79
TXN0000244,U04926,2025-10-10,Bills,276.57
TXN0000245,U02854,2024-10-24,Bills,318.55
TXN0000246,U02393,2025-11-25,Shopping,112.82
TXN0000247,U07610,2025-12-29,Shopping,168.01
TXN0000248,U00304,2025-11-21,Transport,37.64
TXN0000249,U00014,2025-06-07,Stocks,256.47
TXN0000250,U02289,2025-09-09,Shopping,180.03
TXN0000251,U00696,2024-11-22,Crypto,923.78
TXN0000252,U06923,2025-12-20,Travel,2429.49
TXN0000253,U03538,2025-06-14,Entertainment,52.27
TXN0000254,U04251,2025-07-15,Shopping,132.35
TXN0000255,U01042,2025-10-18,Bills,381.61
TXN0000256,U06169,2025-02-23,Travel,1693.06
TXN0000257,U00838,2025-09-09,Shopping,41.96
TXN0000258,U02572,2025-02-25,Bills,56.68
TXN0000259,U07437,2025-03-09,Transport,15.23
TXN0000260,U01154,2024-06-07,Transport,29.17
TXN0000261,U04635,2024-09-10,Transport,25.46
TXN0000262,U01354,2025-11-02,Bills,20.28
TXN0000263,U01035,2024-07-21,Transport,50.75
TXN0000264,U01078,2025-12-12,Shopping,10.96
TXN0000265,U07156,2025-04-28,Transfer,1207.65
TXN0000266,U03925,2025-12-22,Shopping,18.01
TXN0000267,U02115,2025-09-12,Shopping,163.04
TXN0000268,U06802,2025-01-23,Food & Drink,45.21
TXN0000269,U04898,2025-02-04,Transfer,32.75
TXN0000270,U02615,2025-10-12,Travel,432.24
TXN0000271,U07935,2025-10-16,Food & Drink,40.41
TXN0000272,U06130,2024-02-23,Food & Drink,75.94
TXN0000273,U00786,2025-02-22,Shopping,141.2
TXN0000274,U02447,2025-10-29,Bills,40.93
TXN0000275,U00666,2025-12-06,Transport,54.91
TXN0000276,U07233,2025-10-27,Food & Drink,21.15
TXN0000277,U05390,2025-08-05,Shopping,168.2
TXN0000278,U01555,2025-05-22,Shopping,99.48
TXN0000279,U04774,2025-12-30,Food & Drink,73.28
TXN0000280,U02757,2024-10-23,Shopping,198.65
TXN0000281,U07777,2024-10-04,Shopping,14.79
TXN0000282,U01232,2025-10-20,Shopping,103.51
TXN0000283,U05618,2025-10-23,Bills,426.33
TXN0000284,U06906,2025-12-31,Transport,3.66
TXN0000285,U07822,2025-11-12,Transfer,712.53
TXN0000286,U04383,2025-09-02,Transfer,1686.84
TXN0000287,U04173,2025-11-06,Shopping,155.93
TXN0000288,U04212,2025-04-08,Shopping,137.55
TXN0000289,U02448,2025-12-19,Shopping,88.58
TXN0000290,U04317,2025-12-24,Bills,171.58
TXN0000291,U03678,2025-11-24,Entertainment,123.2
TXN0000292,U06711,2025-08-07,Transfer,1742.42
TXN0000293,U07880,2024-05-19,Transport,25.91
TXN0000294,U06988,2025-01-19,Travel,2703.52
TXN0000295,U00038,2025-11-25,Entertainment,131.67
TXN0000296,U00144,2025-12-02,Shopping,84.99
TXN0000297,U02791,2025-02-05,Shopping,52.8
TXN0000298,U01172,2025-11-16,Shopping,174.34
TXN0000299,U00867,2025-12-03,Bills,274.07
TXN0000300,U07200,2025-05-17,Shopping,14.24
TXN0000301,U01720,2024-12-03,Entertainment,49.88
TXN0000302,U07814,2025-06-28,Bills,240.39
TXN0000303,U03912,2025-11-02,Shopping,129.32
TXN0000304,U01706,2024-09-21,Shopping,114.0
TXN0000305,U00321,2024-08-29,Crypto,701.67
TXN0000306,U00887,2025-03-27,Transport,56.48
TXN0000307,U07460,2025-06-04,Entertainment,131.75
TXN0000308,U05446,2025-05-04,Food & Drink,28.09
TXN0000309,U07879,2025-04-20,Shopping,35.87
TXN0000310,U01137,2025-12-15,Food & Drink,6.28
TXN0000311,U07399,2025-10-28,Shopping,151.28
TXN0000312,U03391,2025-07-22,Shopping,65.18
TXN0000313,U06948,2025-11-19,Shopping,101.75
TXN0000314,U02081,2024-08-11,Transfer,1426.61
TXN0000315,U03670,2024-10-07,Food & Drink,49.43
TXN0000316,U02429,2025-10-05,Bills,469.06
TXN0000317,U00391,2025-01-29,Transport,53.69
TXN0000318,U00870,2025-10-04,Shopping,199.35
TXN0000319,U02100,2025-12-08,Shopping,53.14
TXN0000320,U04384,2025-04-14,Transport,15.0
TXN0000321,U00085,2025-09-20,Food & Drink,16.05
TXN0000322,U07537,2025-08-28,Crypto,67.91
TXN0000323,U06450,2025-12-05,Entertainment,31.81
TXN0000324,U01329,2025-08-26,Stocks,1483.47
TXN0000325,U00290,2025-12-25,Shopping,58.12
TXN0000326,U05159,2025-09-03,Transfer,657.13
TXN0000327,U03001,2025-10-17,Food & Drink,48.41
TXN0000328,U00190,2025-12-21,Shopping,27.59
TXN0000329,U07013,2025-07-12,Stocks,61.88
TXN0000330,U00460,2025-04-03,Entertainment,28.24
TXN0000331,U02176,2025-10-07,Bills,231.15
TXN0000332,U06179,2025-09-03,Shopping,96.9
TXN0000333,U04410,2025-12-18,Entertainment,64.31
TXN0000334,U00888,2025-08-19,Shopping,153.28
TXN0000335,U02139,2025-08-01,Transfer,1404.33
TXN0000336,U06223,2024-09-18,Bills,253.59
TXN0000337,U02171,2024-11-10,Food & Drink,26.6
TXN0000338,U07072,2025-12-19,Stocks,3061.66
TXN0000339,U02570,2025-09-24,Transport,41.28
TXN0000340,U07338,2025-07-20,Entertainment,124.99
TXN0000341,U05987,2025-11-01,Food & Drink,64.82
TXN0000342,U05613,2025-04-30,Shopping,95.54
TXN0000343,U04477,2025-06-28,Entertainment,114.38
TXN0000344,U02915,2025-01-11,Transfer,960.72
TXN0000345,U06077,2025-12-30,Shopping,22.83
TXN0000346,U06123,2025-12-24,Entertainment,61.64
TXN0000347,U03770,2025-12-03,Transport,22.38
TXN0000348,U02013,2025-02-25,Shopping,80.67
TXN0000349,U07336,2024-03-27,Food & Drink,39.47
TXN0000350,U03294,2025-09-24,Shopping,10.18
TXN0000351,U05257,2025-08-02,Transfer,514.72
TXN0000352,U03347,2024-10-02,Transfer,1232.82
TXN0000353,U02984,2025-09-30,Shopping,53.52
TXN0000354,U05601,2025-02-18,Bills,285.13
TXN0000355,U01015,2025-10-08,Crypto,506.59
TXN0000356,U02805,2025-05-09,Shopping,127.43
TXN0000357,U06180,2025-05-27,Entertainment,61.25
TXN0000358,U02395,2024-03-23,Food & Drink,35.36
TXN0000359,U05031,2025-12-01,Transport,24.8
TXN0000360,U02615,2025-11-20,Shopping,166.34
TXN0000361,U07287,2025-08-04,Food & Drink,44.87
TXN0000362,U02546,2024-04-30,Bills,49.08
TXN0000363,U01572,2024-12-13,Transfer,1884.48
TXN0000364,U05069,2025-11-15,Food & Drink,69.46
TXN0000365,U00336,2025-07-18,Crypto,813.55
TXN0000366,U03382,2025-08-11,Shopping,84.91
TXN0000367,U02261,2024-04-21,Bills,220.16
TXN0000368,U07508,2025-12-17,Shopping,148.24
TXN0000369,U07446,2025-12-06,Shopping,196.91
TXN0000370,U01933,2024-09-15,Food & Drink,47.75
TXN0000371,U05582,2025-01-07,Transport,17.6
TXN0000372,U00747,2025-10-22,Transfer,1539.87
TXN0000373,U07799,2025-12-31,Food & Drink,34.06
TXN0000374,U02362,2025-07-05,Transfer,1365.91
TXN0000375,U06844,2025-04-03,Crypto,626.58
TXN0000376,U07922,2025-12-14,Transfer,1257.17
TXN0000377,U04792,2025-10-18,Entertainment,79.67
TXN0000378,U02517,2024-12-10,Food & Drink,65.41
TXN0000379,U02831,2025-11-23,Travel,2720.98
TXN0000380,U06390,2025-11-08,Food & Drink,57.15
TXN0000381,U05850,2025-01-08,Shopping,87.37
TXN0000382,U07260,2025-06-26,Crypto,494.27
TXN0000383,U06486,2025-08-17,Bills,249.64
TXN0000384,U04666,2025-03-21,Transport,12.97
TXN0000385,U06565,2025-10-29,Stocks,1751.59
TXN0000386,U07764,2025-11-12,Travel,1288.46
TXN0000387,U01566,2025-11-17,Food & Drink,7.86
TXN0000388,U04729,2025-01-02,Transport,19.12
TXN0000389,U01430,2025-12-15,Food & Drink,35.29
TXN0000390,U02277,2025-08-13,Shopping,105.54
TXN0000391,U06762,2025-09-16,Crypto,460.11
TXN0000392,U02222,2025-07-20,Transfer,1315.36
TXN0000393,U00823,2024-10-08,Shopping,129.07
TXN0000394,U05140,2025-03-08,Bills,49.95
TXN0000395,U07007,2025-12-02,Shopping,21.16
TXN0000396,U03230,2025-12-10,Transfer,124.96
TXN0000397,U02646,2025-08-11,Entertainment,19.78
TXN0000398,U07540,2024-08-31,Stocks,3486.16
TXN0000399,U01999,2025-09-23,Shopping,182.23
TXN0000400,U02640,2025-11-09,Crypto,168.99
TXN0000401,U06203,2024-12-17,Food & Drink,47.48
TXN0000402,U00299,2025-08-12,Stocks,1866.57
TXN0000403,U03250,2025-09-28,Shopping,59.54
TXN0000404,U00332,2024-08-11,Bills,393.6
TXN0000405,U05909,2025-08-11,Food & Drink,41.06
TXN0000406,U07321,2025-10-30,Entertainment,76.75
TXN0000407,U06809,2025-01-06,Food & Drink,26.85
TXN0000408,U05227,2025-07-01,Bills,112.42
TXN0000409,U04509,2025-07-08,Food & Drink,56.52
TXN0000410,U05087,2025-12-30,Transfer,1039.83
TXN0000411,U05691,2025-12-10,Shopping,38.63
TXN0000412,U06764,2025-05-18,Transport,44.41
TXN0000413,U03034,2025-12-26,Shopping,156.85
TXN0000414,U02732,2025-01-12,Bills,279.09
TXN0000415,U01064,2025-08-19,Bills,217.48
TXN0000416,U02193,2025-03-24,Entertainment,32.52
TXN0000417,U00102,2025-08-11,Travel,1383.69
TXN0000418,U06904,2025-02-04,Food & Drink,76.32
TXN0000419,U04667,2025-10-21,Bills,43.2
TXN0000420,U00294,2025-12-16,Transfer,522.36
TXN0000421,U02363,2025-08-31,Shopping,129.53
TXN0000422,U04457,2025-08-07,Transfer,1945.25
TXN0000423,U00159,2025-09-14,Transfer,963.42
TXN0000424,U03387,2025-07-12,Crypto,89.88
TXN0000425,U07421,2024-12-29,Bills,211.74
TXN0000426,U01358,2024-02-25,Food & Drink,34.39
TXN0000427,U02249,2025-12-27,Food & Drink,55.76
TXN0000428,U01216,2025-06-03,Travel,1109.09
TXN0000429,U07349,2024-07-07,Crypto,800.78
TXN0000430,U03690,2025-10-14,Shopping,107.97
TXN0000431,U07668,2025-05-18,Shopping,142.15
TXN0000432,U06494,2025-06-11,Shopping,193.52
TXN0000433,U07152,2025-10-11,Food & Drink,66.29
TXN0000434,U05665,2024-07-23,Food & Drink,23.11
TXN0000435,U05209,2025-10-08,Stocks,3180.09
TXN0000436,U01017,2025-12-27,Stocks,2822.42
TXN0000437,U06395,2025-02-23,Transport,23.25
TXN0000438,U01161,2025-12-05,Transport,16.29
TXN0000439,U07130,2025-01-30,Shopping,101.25
TXN0000440,U07110,2025-09-09,Food & Drink,36.14
TXN0000441,U02978,2024-01-31,Shopping,91.01
TXN0000442,U02941,2024-07-07,Food & Drink,49.28
TXN0000443,U06161,2025-12-08,Bills,302.19
TXN0000444,U01124,2024-11-26,Shopping,14.77
TXN0000445,U02719,2025-09-28,Travel,2509.83
TXN0000446,U05208,2025-12-19,Transport,14.88
TXN0000447,U03489,2025-07-05,Food & Drink,4.06
TXN0000448,U02345,2024-10-13,Transfer,1085.71
TXN0000449,U06811,2025-11-24,Shopping,148.63
TXN0000450,U03447,2025-11-22,Transfer,662.79
TXN0000451,U05404,2025-06-07,Food & Drink,57.46
TXN0000452,U03244,2025-06-19,Transport,29.11
TXN0000453,U03301,2025-05-06,Transport,37.08
TXN0000454,U06338,2025-10-05,Transport,13.63
TXN0000455,U07863,2025-05-08,Food & Drink,71.11
TXN0000456,U04560,2025-10-28,Food & Drink,45.91
TXN0000457,U04576,2025-09-03,Food & Drink,53.84
TXN0000458,U07365,2025-07-11,Food & Drink,65.07
TXN0000459,U05703,2024-12-04,Food & Drink,14.76
TXN0000460,U04127,2025-12-16,Bills,316.2
TXN0000461,U07350,2025-10-27,Shopping,41.57
TXN0000462,U03998,2025-12-11,Entertainment,65.74
TXN0000463,U01486,2025-03-27,Transfer,997.98
TXN0000464,U00203,2025-11-16,Travel,555.38
TXN0000465,U05028,2025-07-20,Shopping,157.04
TXN0000466,U04359,2025-11-16,Entertainment,68.56
TXN0000467,U04985,2025-08-12,Shopping,159.85
TXN0000468,U02718,2025-12-11,Shopping,29.11
TXN0000469,U04325,2025-04-10,Transport,33.88
TXN0000470,U02411,2025-10-23,Transport,17.92
TXN0000471,U00084,2025-06-18,Food & Drink,21.85
TXN0000472,U07207,2025-05-17,Travel,2412.19
TXN0000473,U04839,2025-12-25,Shopping,189.93
TXN0000474,U03885,2025-05-22,Crypto,252.67
TXN0000475,U04363,2025-05-25,Shopping,173.08
TXN0000476,U05932,2025-01-25,Transfer,1204.03
TXN0000477,U00947,2025-04-26,Shopping,69.77
TXN0000478,U04320,2025-11-07,Food & Drink,14.71
TXN0000479,U03441,2025-11-26,Shopping,34.53
TXN0000480,U05797,2025-04-07,Bills,482.67
TXN0000481,U05736,2025-11-24,Travel,1663.65
TXN0000482,U00110,2025-12-30,Transport,13.86
TXN0000483,U02918,2025-12-03,Crypto,273.75
TXN0000484,U05906,2024-10-16,Entertainment,75.03
TXN0000485,U06091,2025-12-05,Transport,18.19
TXN0000486,U02371,2025-01-12,Stocks,4645.18
TXN0000487,U05677,2025-09-15,Shopping,43.1
TXN0000488,U03092,2025-11-26,Travel,1789.77
TXN0000489,U06388,2025-12-26,Shopping,190.02
TXN0000490,U03159,2025-06-30,Transport,53.16
TXN0000491,U02675,2025-03-07,Entertainment,117.42
TXN0000492,U05489,2025-12-30,Transport,52.36
TXN0000493,U06435,2024-04-20,Food & Drink,17.97
TXN0000494,U03129,2025-04-02,Food & Drink,52.45
TXN0000495,U05251,2025-11-07,Transfer,68.23
TXN0000496,U05062,2024-10-15,Bills,239.38
TXN0000497,U06628,2025-09-16,Crypto,190.16
TXN0000498,U04092,2025-09-06,Entertainment,77.59
TXN0000499,U01569,2025-07-06,Bills,38.97
TXN0000500,U07517,2025-09-17,Travel,2639.09
TXN0000501,U07375,2025-07-10,Shopping,58.5
TXN0000502,U04855,2025-12-24,Shopping,122.97
TXN0000503,U03844,2025-10-13,Shopping,8.08
TXN0000504,U02028,2024-11-27,Transport,22.15
TXN0000505,U04731,2025-08-17,Shopping,170.61
TXN0000506,U00830,2025-10-27,Bills,234.12
TXN0000507,U07602,2025-11-28,Travel,832.59
TXN0000508,U05660,2025-08-01,Food & Drink,75.58
TXN0000509,U07386,2025-04-14,Crypto,636.88
TXN0000510,U01648,2025-06-03,Crypto,934.57
TXN0000511,U01700,2025-06-01,Bills,207.29
TXN0000512,U00675,2025-07-03,Food & Drink,16.11
