user_id,signup_date,country,age,plan,adopted_features,churned,days_inactive
U00035,2024-02-15,Portugal,62,Premium,Budgeting; Rewards; Card Payments; Stocks; Crypto,0,88
U00036,2025-10-02,Other,18,Standard,Stocks; Crypto,0,6
U00037,2024-10-26,UK,57,Plus,Card Payments; Travel Insurance,1,112
U00038,2025-10-14,Poland,18,Plus,Rewards,0,11
U00039,2024-11-09,Poland,40,Premium,Budgeting; Vaults,1,110
U00040,2024-01-19,Poland,28,Standard,Card Payments; Budgeting,1,130
U00041,2025-10-05,Other,30,Plus,Budgeting; Stocks; Card Payments; Rewards,0,25
U00042,2025-09-18,Poland,20,Plus,Rewards; Vaults,0,17
U00043,2024-12-01,Germany,25,Standard,FX Transfer; Card Payments; Crypto,0,33
U00044,2025-08-05,Other,31,Standard,Crypto; Travel Insurance,0,5
U00045,2025-09-04,UK,18,Premium,Budgeting; Travel Insurance; Card Payments; Vaults; Crypto,0,24
U00046,2024-12-13,Spain,27,Standard,FX Transfer,0,10
U00047,2024-05-14,Poland,23,Standard,Vaults; Travel Insurance,0,48
U00048,2024-09-01,UK,31,Metal,Budgeting; Crypto; FX Transfer; Vaults,0,29
U00049,2024-05-12,France,43,Standard,Rewards,0,21
U00050,2025-01-27,Spain,39,Standard,FX Transfer; Vaults,1,152
U00051,2025-04-10,UK,30,Premium,Travel Insurance,0,12
U00052,2024-03-01,France,31,Metal,Card Payments; Crypto; Vaults; Budgeting; FX Transfer; Rewards; Travel Insurance,0,83
U00053,2024-06-12,Other,35,Plus,Budgeting,0,4
U00054,2024-10-02,Other,30,Standard,FX Transfer; Budgeting; Card Payments,0,2
U00055,2024-11-26,UK,27,Standard,Crypto,0,47
U00056,2025-07-09,Spain,40,Standard,Stocks; Budgeting,0,4
U00057,2025-04-21,UK,41,Plus,Vaults,0,12
U00058,2024-08-08,Portugal,18,Standard,Stocks,0,36
U00059,2025-04-06,Poland,38,Standard,Budgeting,0,22
U00060,2024-03-27,Poland,27,Plus,Rewards; FX Transfer; Card Payments,0,83
U00061,2025-11-20,France,35,Standard,Vaults,0,3
U00062,2025-11-30,UK,21,Premium,Crypto; Travel Insurance; Stocks; Card Payments,0,4
U00063,2025-01-02,Spain,34,Premium,Travel Insurance; Crypto,0,4
U00064,2025-10-31,Germany,22,Plus,Rewards; FX Transfer; Travel Insurance,0,10
U00065,2024-09-20,Spain,20,Standard,Budgeting; FX Transfer,1,216
U00066,2025-08-12,UK,43,Standard,Card Payments; Vaults; Budgeting,0,4
U00067,2025-10-04,Spain,59,Premium,Card Payments; Travel Insurance; Crypto; Stocks,0,1
U00068,2025-08-25,Other,37,Standard,Rewards; Stocks,0,64
U00069,2025-12-05,Spain,33,Standard,Vaults,0,5
U00070,2025-10-31,UK,37,Premium,Stocks,0,4
U00071,2025-08-01,Spain,22,Plus,Crypto; Vaults,0,12
U00072,2025-05-19,Other,37,Plus,Budgeting; Card Payments,0,28
U00073,2024-05-21,Spain,38,Premium,Budgeting; Stocks; Rewards,0,60
U00074,2025-03-31,Other,36,Plus,Vaults; FX Transfer; Travel Insurance,0,1
U00075,2024-10-28,Other,22,Plus,Card Payments; Travel Insurance,0,19
U00076,2024-10-25,UK,41,Premium,FX Transfer,0,52
U00077,2025-09-07,Germany,48,Standard,FX Transfer; Travel Insurance,0,14
U00078,2024-01-20,UK,60,Standard,Travel Insurance; Crypto,0,25
U00079,2024-05-23,Spain,29,Premium,Travel Insurance; Card Payments; Rewards; Stocks; Crypto,0,31
U00080,2024-12-12,UK,22,Standard,Card Payments; Crypto,0,69
U00081,2025-01-06,Poland,49,Plus,FX Transfer; Vaults; Crypto,0,58
U00082,2024-07-05,UK,20,Standard,Crypto; Budgeting,1,274
U00083,2025-12-01,UK,18,Premium,Travel Insurance; Stocks,0,7
U00084,2025-04-29,France,20,Standard,Stocks; Budgeting,0,2
U00085,2025-04-07,Portugal,32,Premium,Stocks; Crypto; Card Payments; Budgeting,0,10
U00086,2025-09-22,France,18,Standard,Stocks,0,16
U00087,2024-12-07,Portugal,18,Plus,Crypto; Rewards; Travel Insurance,0,22
U00088,2024-08-07,Germany,18,Metal,Card Payments; Vaults; Crypto; FX Transfer; Stocks,0,27
U00089,2025-05-13,Portugal,52,Plus,Rewards,0,75
U00090,2025-09-25,UK,37,Standard,Travel Insurance,0,34
U00091,2024-07-28,Poland,46,Standard,Vaults,0,90
U00092,2025-04-09,UK,58,Plus,Vaults,0,56
U00093,2025-11-30,UK,37,Standard,FX Transfer,0,15
U00094,2025-07-30,Portugal,34,Standard,Rewards; Vaults,0,6
U00095,2025-04-11,UK,35,Premium,Stocks; FX Transfer,0,64
U00096,2025-06-18,Spain,28,Standard,FX Transfer,0,75
U00097,2025-06-16,Germany,31,Premium,FX Transfer; Vaults; Rewards,0,26
U00098,2024-06-15,Poland,37,Plus,Budgeting; Vaults; Crypto,0,20
U00099,2024-11-05,Spain,29,Standard,Vaults; Budgeting; FX Transfer; Travel Insurance,0,1
U00100,2024-10-17,Spain,50,Standard,FX Transfer; Stocks,0,17
U00101,2025-01-20,Other,39,Plus,Stocks,0,77
U00102,2025-01-17,France,40,Metal,Rewards; Travel Insurance; Budgeting; Vaults; Crypto,0,2
U00103,2024-02-23,Spain,40,Standard,Card Payments,0,7
U00104,2025-07-24,Spain,30,Plus,Budgeting,0,6
U00105,2024-03-15,UK,45,Standard,Rewards; Crypto,0,79
U00106,2025-01-06,Poland,36,Plus,Vaults; Card Payments; Rewards,0,10
U00107,2024-06-27,UK,39,Standard,Budgeting,0,70
U00108,2024-10-21,Spain,52,Premium,Rewards; Budgeting; Travel Insurance; Crypto,0,39
U00109,2025-01-04,Spain,18,Standard,Vaults,0,24
U00110,2025-12-30,UK,21,Metal,FX Transfer; Crypto; Rewards,0,1
U00111,2025-10-25,UK,42,Premium,Card Payments; Rewards; Vaults; Stocks,0,7
U00112,2025-01-08,Poland,57,Metal,Vaults; FX Transfer; Card Payments; Travel Insurance; Budgeting,0,12
U00113,2024-11-15,Portugal,28,Plus,Crypto; Travel Insurance,0,56
U00114,2025-07-23,UK,31,Metal,Stocks; Rewards; Crypto; Budgeting; Vaults,0,26
U00115,2024-07-18,Spain,40,Plus,FX Transfer; Vaults; Card Payments,1,308
U00116,2024-03-08,Germany,33,Metal,Travel Insurance; Vaults; Stocks; Crypto,0,22
U00117,2025-03-05,UK,33,Standard,FX Transfer; Vaults; Travel Insurance,0,11
U00118,2025-12-25,UK,36,Plus,Vaults; Crypto,0,1
U00119,2024-09-26,UK,22,Plus,Crypto,0,4
U00120,2024-12-02,UK,37,Plus,Stocks; Rewards; Crypto,1,253
U00121,2025-08-07,UK,31,Standard,FX Transfer,0,6
U00122,2024-02-19,Poland,18,Plus,Vaults; Budgeting,1,180
U00123,2025-02-16,Other,18,Metal,Rewards; Travel Insurance; Stocks; Crypto; Vaults; Budgeting,0,1
U00124,2025-10-18,France,39,Premium,Crypto; Vaults,0,19
U00125,2024-01-26,Germany,33,Standard,Crypto,0,11
U00126,2024-07-31,Other,23,Standard,Card Payments,0,72
U00127,2025-02-23,Germany,42,Plus,Stocks,0,5
U00128,2024-08-05,Portugal,27,Plus,Vaults; Rewards; Card Payments,1,124
U00129,2025-04-30,UK,40,Metal,Travel Insurance; Stocks; Budgeting; Card Payments,0,25
U00130,2024-07-21,Spain,34,Premium,Rewards; Budgeting; Crypto; Stocks; Card Payments,0,14
U00131,2024-12-23,Portugal,25,Standard,Crypto,1,260
U00132,2025-11-06,UK,45,Standard,Stocks,0,21
U00133,2025-10-12,UK,33,Standard,Rewards,0,18
U00134,2025-12-28,Spain,18,Premium,Crypto; Budgeting,0,1
U00135,2024-04-03,Other,26,Metal,FX Transfer; Card Payments; Budgeting; Rewards; Vaults,1,184
U00136,2024-05-14,Germany,25,Standard,Stocks,1,108
U00137,2025-06-25,France,42,Plus,FX Transfer,0,4
U00138,2025-05-18,Poland,43,Standard,Travel Insurance; Vaults,0,29
U00139,2025-05-01,UK,49,Plus,FX Transfer; Card Payments,0,34
U00140,2025-11-28,UK,53,Standard,Vaults,0,1
U00141,2025-06-01,Spain,42,Metal,Vaults; Card Payments; Rewards,0,47
U00142,2024-07-14,France,47,Plus,Rewards,0,2
U00143,2024-03-20,Spain,36,Premium,Vaults; Card Payments,0,27
U00144,2025-07-26,UK,34,Metal,Vaults; Travel Insurance; Budgeting; Rewards; Card Payments,0,1
U00145,2025-06-17,Poland,45,Standard,FX Transfer; Crypto; Card Payments,0,38
U00146,2024-05-17,Spain,26,Standard,Travel Insurance; Card Payments; Budgeting; Stocks,0,57
U00147,2025-11-11,UK,42,Metal,FX Transfer; Stocks; Card Payments; Travel Insurance,0,7
U00148,2024-02-25,France,55,Plus,Budgeting,0,80
U00149,2025-06-14,France,19,Premium,Vaults,0,6
U00150,2024-06-05,UK,41,Plus,Crypto,0,4
U00151,2024-04-27,Germany,30,Standard,Crypto,0,49
U00152,2024-07-19,Portugal,41,Plus,Travel Insurance; Stocks,1,145
U00153,2024-11-08,Spain,39,Standard,Card Payments,0,44
U00154,2024-12-23,Other,21,Standard,Card Payments,1,178
U00155,2024-09-14,UK,49,Standard,Crypto,0,2
U00156,2025-07-07,Poland,33,Plus,Rewards,0,4
U00157,2025-09-14,UK,27,Premium,Crypto; Rewards; Budgeting,0,2
U00158,2025-06-27,Spain,49,Standard,Travel Insurance; Vaults,0,4
U00159,2024-02-01,Other,29,Premium,FX Transfer,0,21
U00160,2024-10-01,Other,43,Plus,Card Payments; Travel Insurance; Stocks,0,73
U00161,2024-04-14,UK,30,Standard,FX Transfer,1,113
U00162,2025-02-18,Poland,21,Plus,Card Payments; Vaults; Budgeting; Crypto,0,62
U00163,2024-09-19,Poland,50,Plus,FX Transfer; Crypto; Rewards,0,58
U00164,2024-06-13,UK,24,Standard,Card Payments; Budgeting; FX Transfer,0,32
U00165,2024-05-20,Other,28,Plus,Vaults,0,16
U00166,2025-04-28,UK,48,Plus,Travel Insurance; FX Transfer; Vaults,0,46
U00167,2025-05-14,Other,36,Premium,Budgeting,0,22
U00168,2024-01-11,Poland,40,Standard,Crypto,0,71
U00169,2025-02-20,France,33,Plus,Stocks; FX Transfer; Card Payments,0,34
U00170,2024-06-29,UK,34,Premium,Travel Insurance; Stocks; Card Payments; Rewards,0,36
U00171,2024-03-13,Germany,18,Premium,Travel Insurance; Budgeting,1,133
U00172,2025-07-21,Spain,28,Standard,FX Transfer; Travel Insurance,0,5
U00173,2024-01-25,France,42,Plus,Travel Insurance,1,320
U00174,2025-03-13,Other,28,Plus,Vaults,0,1
U00175,2025-03-06,Poland,44,Standard,FX Transfer,0,84
U00176,2025-09-07,UK,18,Metal,Stocks; Crypto; Vaults; Card Payments,0,5
U00177,2024-12-30,UK,47,Standard,Travel Insurance,0,3
U00178,2025-11-18,Poland,18,Premium,Rewards; Vaults; Stocks,0,10
U00179,2025-06-29,France,21,Premium,Card Payments; Crypto; Rewards; Stocks,0,20
U00180,2025-11-15,Poland,36,Standard,Stocks; Vaults,0,2
U00181,2024-04-24,Other,38,Standard,Crypto,1,220
U00182,2024-07-22,France,18,Plus,Vaults,0,72
U00183,2024-08-20,France,18,Premium,Stocks; Travel Insurance,0,4
U00184,2024-03-17,Portugal,23,Standard,Card Payments; Travel Insurance,1,155
U00185,2025-01-08,Germany,28,Standard,Vaults,1,105
U00186,2025-02-16,Germany,36,Premium,Crypto; FX Transfer; Rewards; Stocks,0,17
U00187,2024-07-06,France,52,Standard,Crypto,1,158
U00188,2025-09-13,France,28,Standard,Stocks,0,28
U00189,2025-08-27,Spain,64,Standard,Rewards; Vaults,0,42
U00190,2025-10-03,UK,28,Metal,Stocks; Card Payments; Budgeting; FX Transfer; Vaults; Crypto,0,2
U00191,2024-01-29,Spain,28,Standard,FX Transfer,0,13
U00192,2025-10-26,Poland,40,Standard,Crypto,0,1
U00193,2025-04-24,UK,35,Standard,Budgeting; Travel Insurance,0,22
U00194,2024-04-08,Portugal,54,Premium,FX Transfer; Card Payments,1,163
U00195,2024-03-07,Poland,23,Standard,Vaults; Crypto,1,91
U00196,2025-03-14,Poland,19,Premium,Crypto; Rewards; Vaults; Stocks,0,42
U00197,2025-05-06,Poland,29,Metal,Budgeting; Vaults; Card Payments; FX Transfer; Crypto; Travel Insurance,0,19
U00198,2025-10-23,France,34,Plus,Rewards; FX Transfer,0,11
U00199,2025-11-19,UK,31,Standard,FX Transfer,0,7
U00200,2024-01-05,Poland,45,Standard,Stocks,0,47
U00201,2025-04-01,UK,57,Standard,Rewards,0,22
U00202,2024-05-07,Portugal,39,Premium,Card Payments,1,256
U00203,2025-04-23,Spain,30,Metal,Rewards; Budgeting; Card Payments; Stocks,0,27
U00204,2025-07-20,Germany,26,Standard,Card Payments,0,7
U00205,2025-06-29,Germany,23,Metal,Vaults; Stocks,0,51
U00206,2024-08-10,Portugal,30,Premium,Budgeting; Stocks; Crypto; Vaults,0,88
U00207,2024-07-15,UK,35,Standard,Rewards,0,25
U00208,2025-05-26,Germany,27,Standard,Crypto,0,44
U00209,2024-11-20,UK,23,Plus,Vaults; Crypto,0,3
U00210,2025-09-11,UK,29,Premium,Budgeting,0,13
U00211,2025-09-18,Spain,31,Plus,Travel Insurance; Card Payments,0,1
U00212,2025-05-12,Germany,37,Metal,FX Transfer; Rewards; Crypto; Travel Insurance; Card Payments; Stocks,0,12
U00213,2024-03-06,France,36,Plus,Budgeting,0,8
U00214,2024-01-09,France,33,Standard,FX Transfer,1,258
U00215,2024-11-28,Portugal,29,Premium,Travel Insurance; Card Payments; Stocks; Rewards,1,109
U00216,2024-03-08,Germany,32,Plus,Budgeting; Vaults,1,142
U00217,2024-05-29,Spain,30,Plus,Crypto; Vaults; Travel Insurance,1,101
U00218,2024-01-25,Germany,20,Plus,Card Payments; Rewards,0,35
U00219,2025-10-15,UK,50,Premium,Stocks; Vaults,0,3
U00220,2025-09-14,UK,51,Plus,Stocks; Card Payments,0,10
U00221,2025-09-19,Other,46,Standard,Vaults,0,8
U00222,2025-12-22,France,56,Metal,Card Payments; Stocks; Vaults; Crypto; FX Transfer,0,3
U00223,2025-02-27,UK,44,Premium,FX Transfer; Budgeting; Travel Insurance; Card Payments,0,14
U00224,2024-06-02,Spain,42,Standard,Crypto; Travel Insurance,0,38
U00225,2024-03-02,UK,47,Premium,Vaults; Card Payments; Travel Insurance,1,109
U00226,2025-07-09,France,18,Metal,Budgeting; Card Payments; Rewards; Travel Insurance,0,7
U00227,2024-02-02,Poland,26,Metal,Stocks; Crypto; Vaults; FX Transfer; Travel Insurance,0,2
U00228,2025-06-28,Portugal,31,Standard,FX Transfer,0,9
U00229,2025-01-13,Other,29,Premium,Rewards; FX Transfer; Card Payments; Budgeting,1,93
U00230,2024-04-11,France,26,Premium,Stocks; Travel Insurance; Card Payments,1,231
U00231,2024-04-15,UK,30,Plus,Crypto,1,124
U00232,2025-03-16,France,18,Standard,Budgeting,0,22
U00233,2025-01-29,Germany,33,Plus,FX Transfer; Travel Insurance; Crypto; Card Payments,0,84
U00234,2024-10-24,Spain,18,Premium,Budgeting; Rewards; FX Transfer; Travel Insurance; Crypto; Stocks,0,20
U00235,2025-10-27,Other,30,Standard,Budgeting,0,12
U00236,2025-03-17,Portugal,47,Premium,Travel Insurance,0,2
U00237,2024-11-13,Germany,53,Premium,Rewards; Stocks; Travel Insurance; Crypto; Vaults,0,36
U00238,2024-05-27,Portugal,35,Metal,Rewards; Budgeting; Stocks,0,38
U00239,2024-03-03,UK,49,Metal,Vaults; Rewards; Travel Insurance,1,112
U00240,2024-04-23,Poland,36,Standard,Vaults; Travel Insurance,0,11
U00241,2025-08-28,UK,37,Premium,Budgeting; Rewards; FX Transfer,0,15
U00242,2025-02-22,Spain,34,Standard,Card Payments; Budgeting,0,21
U00243,2024-01-19,Spain,29,Metal,Card Payments; Stocks; Rewards; Budgeting; Crypto,0,8
U00244,2025-07-28,UK,23,Metal,Stocks; Budgeting; Rewards; Card Payments,0,44
U00245,2025-12-19,France,44,Plus,Vaults; Crypto,0,1
U00246,2025-07-20,Other,27,Plus,Budgeting,0,10
U00247,2025-01-30,Poland,35,Plus,Rewards,0,1
U00248,2025-12-11,France,39,Standard,Travel Insurance,0,7
U00249,2024-03-20,UK,48,Standard,Crypto,0,11
U00250,2025-06-03,UK,24,Standard,Vaults,0,12
U00251,2025-08-22,UK,56,Standard,Vaults,0,2
U00252,2025-11-13,UK,28,Metal,Card Payments; Crypto; Rewards; Budgeting; Travel Insurance; FX Transfer,0,2
U00253,2024-12-26,Poland,31,Standard,Crypto; Card Payments,0,70
U00254,2025-11-28,Portugal,40,Plus,Rewards; FX Transfer; Card Payments,0,8
U00255,2024-06-10,Poland,30,Premium,FX Transfer; Rewards; Budgeting,1,104
U00256,2024-06-08,France,18,Premium,Card Payments,0,21
U00257,2025-09-23,Portugal,45,Premium,Stocks; FX Transfer; Rewards,0,3
U00258,2024-11-21,UK,22,Standard,Card Payments,0,28
U00259,2024-07-10,Portugal,31,Metal,FX Transfer; Rewards,0,54
U00260,2024-09-16,Portugal,36,Standard,Crypto,0,17
U00261,2024-12-07,Germany,35,Premium,Vaults; Crypto; Rewards,0,27
U00262,2024-02-04,UK,18,Plus,Budgeting; Crypto,1,117
U00263,2025-05-03,UK,33,Plus,Rewards; Crypto,0,7
U00264,2024-01-18,France,45,Plus,Rewards; Budgeting,1,134
U00265,2025-09-08,UK,41,Standard,Rewards; Crypto,0,10
U00266,2025-03-09,UK,40,Standard,FX Transfer,0,9
U00267,2025-09-09,Germany,32,Metal,Budgeting; Travel Insurance; Vaults,0,4
U00268,2025-02-21,UK,36,Plus,Vaults,1,124
U00269,2025-12-27,Poland,26,Plus,FX Transfer; Rewards,0,2
U00270,2024-07-12,Spain,33,Metal,Crypto; Vaults; Travel Insurance; Budgeting,0,88
U00271,2024-03-28,Spain,50,Standard,Travel Insurance,1,95
U00272,2025-02-06,Germany,33,Plus,Vaults; FX Transfer; Rewards,0,46
U00273,2024-02-24,Portugal,28,Standard,Vaults; Budgeting; Stocks,0,23
U00274,2025-02-25,France,45,Standard,Crypto; Budgeting; Travel Insurance; Card Payments; Vaults,0,60
U00275,2025-06-06,Portugal,37,Premium,Vaults; Stocks; Rewards; Card Payments,0,74
U00276,2025-08-30,Poland,36,Premium,Card Payments; Crypto; Travel Insurance; FX Transfer,0,16
U00277,2025-11-03,UK,28,Standard,Stocks; Rewards,0,2
U00278,2025-09-30,UK,25,Plus,Rewards; Travel Insurance; Budgeting; Crypto,0,20
U00279,2025-02-02,UK,32,Plus,Budgeting; Card Payments,0,5
U00280,2025-01-01,Poland,27,Plus,Card Payments,0,39
U00281,2024-12-03,Poland,48,Premium,Card Payments; Budgeting; FX Transfer,0,72
U00282,2024-01-20,Spain,32,Plus,Card Payments,0,38
U00283,2024-06-05,Poland,40,Standard,Travel Insurance; Vaults; Card Payments,1,103
U00284,2024-11-26,Portugal,32,Plus,Rewards; Vaults; FX Transfer; Travel Insurance,0,7
U00285,2024-03-21,France,35,Standard,Card Payments,0,65
U00286,2025-03-25,Germany,49,Plus,Crypto; Travel Insurance; Vaults; Budgeting,0,40
U00287,2024-08-19,France,47,Premium,FX Transfer; Rewards; Vaults,0,21
U00288,2024-11-12,Portugal,30,Standard,FX Transfer; Budgeting,0,58
U00289,2025-11-06,UK,46,Premium,Travel Insurance,0,29
U00290,2025-06-27,France,55,Standard,Card Payments,0,7
U00291,2024-02-28,UK,48,Standard,Stocks; Card Payments,0,1
U00292,2025-10-13,Spain,46,Standard,Rewards,0,40
U00293,2024-07-16,Poland,25,Premium,Budgeting; FX Transfer; Rewards; Card Payments,0,27
U00294,2025-12-08,Poland,38,Premium,Rewards,0,1
U00295,2024-02-20,Spain,45,Premium,FX Transfer; Card Payments; Vaults; Crypto,0,7
U00296,2024-04-20,Portugal,34,Premium,Crypto; Travel Insurance; Vaults; FX Transfer,0,8
U00297,2024-02-18,France,36,Plus,Rewards; Card Payments; Vaults,0,12
U00298,2025-11-10,Poland,29,Standard,Crypto,0,1
U00299,2025-03-08,Poland,19,Metal,Vaults; Rewards; Stocks; Card Payments; FX Transfer; Crypto; Travel Insurance,0,33
U00300,2025-07-30,Poland,19,Standard,Rewards,0,16
U00301,2025-11-21,France,40,Standard,Card Payments,0,4
U00302,2025-08-09,UK,29,Metal,FX Transfer; Budgeting; Rewards,0,32
U00303,2024-02-05,UK,36,Premium,FX Transfer; Crypto,0,2
U00304,2025-03-19,Poland,36,Standard,Crypto,0,41
U00305,2024-04-26,Portugal,18,Standard,Rewards,0,10
U00306,2025-09-24,Spain,44,Standard,Travel Insurance,0,26
U00307,2025-03-03,Spain,35,Premium,Rewards; Crypto; FX Transfer,0,86
U00308,2025-02-17,Spain,25,Plus,Crypto; Vaults,0,24
U00309,2024-09-18,Other,44,Plus,FX Transfer; Card Payments; Crypto,0,52
U00310,2025-07-17,Spain,29,Metal,Crypto; Rewards; Budgeting; Stocks,0,3
U00311,2025-12-14,Spain,36,Metal,FX Transfer; Budgeting,0,1
U00312,2024-04-14,France,21,Plus,Crypto; Budgeting; Card Payments,0,38
U00313,2024-04-21,Poland,38,Standard,Vaults,0,2
U00314,2024-01-01,Poland,62,Standard,Crypto,1,94
U00315,2025-05-07,Germany,31,Standard,Rewards; Vaults,0,7
U00316,2024-05-25,UK,47,Standard,FX Transfer,1,134
U00317,2024-10-20,France,37,Standard,Vaults,1,178
U00318,2025-02-14,Portugal,36,Standard,Rewards,0,5
U00319,2025-03-14,Germany,52,Plus,Travel Insurance,0,5
U00320,2025-11-13,Poland,22,Plus,FX Transfer; Budgeting,0,15
U00321,2024-04-05,Spain,33,Standard,Card Payments; Vaults,0,73
U00322,2025-09-27,Spain,31,Standard,FX Transfer,0,22
U00323,2025-01-04,UK,23,Standard,Card Payments; FX Transfer,0,16
U00324,2025-04-25,UK,39,Standard,Travel Insurance,0,13
U00325,2024-10-01,Poland,27,Plus,Vaults,0,28
U00326,2025-09-24,Other,29,Premium,FX Transfer; Rewards; Vaults,0,5
U00327,2025-06-25,UK,33,Standard,Card Payments,0,57
U00328,2024-11-13,UK,18,Standard,Card Payments,0,54
U00329,2024-07-25,Other,34,Standard,Crypto; Travel Insurance,1,113
U00330,2024-10-31,Spain,35,Standard,FX Transfer; Travel Insurance,0,59
U00331,2025-04-05,Spain,26,Plus,Crypto; Vaults,0,15
U00332,2024-07-07,Portugal,30,Standard,Crypto,1,272
U00333,2025-04-14,Poland,44,Plus,Crypto; Stocks,0,54
U00334,2024-03-02,Other,18,Plus,Crypto; Card Payments,0,2
U00335,2024-04-02,Spain,18,Premium,FX Transfer,0,19
U00336,2024-02-23,Germany,28,Plus,Travel Insurance; FX Transfer,0,28
U00337,2024-06-05,UK,29,Plus,Card Payments; Rewards,1,128
U00338,2024-08-23,Spain,18,Plus,Travel Insurance; Card Payments,0,57
U00339,2025-02-18,UK,54,Standard,Rewards; Card Payments,0,5
U00340,2025-04-11,UK,19,Premium,Crypto; Budgeting,0,14
U00341,2025-06-30,Spain,32,Premium,Card Payments; Stocks,0,61
U00342,2024-10-16,Poland,49,Standard,Travel Insurance,0,55
U00343,2024-01-10,France,36,Standard,Stocks; Vaults,1,197
U00344,2025-10-16,Portugal,20,Standard,Travel Insurance,0,3
U00345,2025-12-26,Poland,65,Plus,Travel Insurance,0,2
U00346,2025-11-20,Spain,43,Standard,Card Payments,0,2
U00347,2024-01-16,Portugal,38,Standard,Card Payments; Travel Insurance,0,9
U00348,2024-06-07,France,51,Premium,Stocks; Budgeting; Card Payments; Vaults,0,42
U00349,2025-10-03,UK,18,Plus,Stocks,0,9
U00350,2024-01-18,UK,28,Premium,Budgeting,0,62
U00351,2025-06-12,Germany,26,Metal,Rewards; Card Payments; Travel Insurance; Stocks; Budgeting; Crypto,0,84
U00352,2024-08-25,Other,18,Premium,Travel Insurance; Card Payments,0,63
U00353,2025-11-29,Germany,35,Standard,Budgeting,0,6
U00354,2025-03-19,Spain,49,Plus,Rewards; FX Transfer; Vaults,0,44
U00355,2025-04-07,Spain,22,Standard,Travel Insurance,0,47
U00356,2024-12-14,Other,31,Standard,Travel Insurance; Budgeting; Rewards,0,62
U00357,2025-04-05,Portugal,30,Standard,Budgeting,0,1
U00358,2025-05-13,Poland,54,Standard,Stocks,0,73
U00359,2024-11-20,France,35,Plus,Budgeting; Vaults; Rewards,0,19
U00360,2024-09-13,France,34,Plus,Vaults,1,131
U00361,2024-11-12,UK,18,Premium,Rewards; Vaults; Travel Insurance,0,46
U00362,2024-03-08,UK,20,Standard,Travel Insurance; Rewards,0,61
U00363,2024-03-28,UK,36,Standard,Card Payments,0,10
U00364,2025-07-11,Portugal,39,Plus,Crypto,0,12
U00365,2024-09-29,Poland,40,Standard,FX Transfer,0,37
U00366,2024-09-03,France,31,Standard,Vaults,0,21
U00367,2024-05-16,Poland,46,Plus,Card Payments; Travel Insurance; FX Transfer; Rewards; Vaults; Budgeting,0,6
U00368,2025-10-04,France,31,Standard,Vaults,0,20
U00369,2025-04-26,UK,31,Standard,FX Transfer,1,239
U00370,2025-03-15,UK,18,Metal,Stocks; FX Transfer; Rewards,0,44
U00371,2025-02-25,UK,32,Standard,Budgeting,0,79
U00372,2025-02-24,Spain,45,Plus,Rewards,0,56
